index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,label
44,45,2021-02-15T00:00:00.000Z,ily (i love you baby),Surf Mesa,QZJRC1945204,1.0,27755710.0,246,"['2019-11-26T00:00:00.000Z', '2019-11-26T00:00:00.000Z', '2020-02-25T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-19T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-02T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-09T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-08T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-21T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-04T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-10-27T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-08T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-09T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-21T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-29T00:00:00.000Z', '2020-12-30T00:00:00.000Z', '2020-12-30T00:00:00.000Z', '2021-01-06T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2021-01-08T00:00:00.000Z', '2021-01-08T00:00:00.000Z', '2021-01-15T00:00:00.000Z', '2021-01-18T00:00:00.000Z', '2021-01-20T00:00:00.000Z', '2021-01-20T00:00:00.000Z', '2021-01-20T00:00:00.000Z', '2021-01-22T00:00:00.000Z', '2021-01-22T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-01-30T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-02-03T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-08T00:00:00.000Z', '2021-02-09T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z']",1793858,
45,46,2021-02-15T00:00:00.000Z,"1,2,3,4 (One, Two, Three, Four) - Fun Elektro Mix",Funbeat,ITJ871201055,,21819135.0,15,['2012-01-01T00:00:00.000Z'],502499,
46,47,2021-02-15T00:00:00.000Z,F Boy,Ander Huang & DJ Kuromi,QZHNC2078374,0.285714285714286,31595311.0,107,"['2020-08-22T00:00:00.000Z', '2020-12-02T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z']",3581033,
47,48,2021-02-15T00:00:00.000Z,Myself,Bazzi,USAT21801524,0.714285714285714,19040153.0,200,"['2018-04-12T00:00:00.000Z', '2018-04-12T00:00:00.000Z', '2020-04-13T00:00:00.000Z']",213807,
49,50,2021-02-15T00:00:00.000Z,COPINES,Nicole Flores,FRZ041800793,-4.0,20438195.0,42,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,"Rec. 118 / Warner Music France, a Warner Music Group company"
51,52,2021-02-15T00:00:00.000Z,In The End - Mellen Gi Remix,Tommee Profitt,TCADO1871408,0.714285714285714,18965480.0,166,"['2018-04-06T00:00:00.000Z', '2019-03-22T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-11-20T00:00:00.000Z']",491800,
52,53,2021-02-15T00:00:00.000Z,Solo,Clean Bandit,GBAHS1800328,0.857142857142857,19252730.0,158,"['2018-05-17T00:00:00.000Z', '2018-08-03T00:00:00.000Z', '2018-11-16T00:00:00.000Z', '2018-11-30T00:00:00.000Z', '2019-03-15T00:00:00.000Z', '2018-11-30T00:00:00.000Z', '2019-04-05T00:00:00.000Z', '2019-03-08T00:00:00.000Z', '2019-07-12T00:00:00.000Z', '2019-08-02T00:00:00.000Z', '2019-08-02T00:00:00.000Z', '2019-08-02T00:00:00.000Z', '2019-08-02T00:00:00.000Z', '2019-07-12T00:00:00.000Z', '2019-06-28T00:00:00.000Z', '2019-07-12T00:00:00.000Z', '2020-07-01T00:00:00.000Z']",4135,Atlantic Records
53,54,2021-02-15T00:00:00.000Z,Hit It,𝒀𝑼𝑵𝑮 𝑺𝑲𝑹𝑹𝑻 ,QZFZ72063845,,28847010.0,133,['2019-07-27T00:00:00.000Z'],93932,Skrrt Digital
54,55,2021-02-15T00:00:00.000Z,Não Fica Apaixonadinha,MC Lorenzo,QZMZ92045805,,31769803.0,73,"['2020-08-31T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-28T00:00:00.000Z']",4003192,
55,56,2021-02-15T00:00:00.000Z,Cristal & МОЁТ,Morgenshtern,DGA062038289,-4.57142857142857,32427262.0,40,['2020-12-28T00:00:00.000Z'],1003897,
56,57,2021-02-15T00:00:00.000Z,Pooranviram,Akki Aryan,INT502001067,,28777361.0,95,['2020-02-03T00:00:00.000Z'],3816516,
58,59,2021-02-15T00:00:00.000Z,Pipipi Calon Mantu (Remix),DJ Opus,FRX872053520,-4.71428571428571,31742974.0,59,['2020-09-22T00:00:00.000Z'],1374602,
59,60,2021-02-15T00:00:00.000Z,Teach Me How To Dougie,Classics Reborn,USQY51330295,,15647122.0,76,['2013-02-08T00:00:00.000Z'],273773,
60,61,2021-02-15T00:00:00.000Z,I Will,Coke Beats,QZDA81991094,,24872627.0,3,['2019-03-05T00:00:00.000Z'],1692837,
61,62,2021-02-15T00:00:00.000Z,drivers license,Olivia Rodrigo,USUG12004749,-5.28571428571429,32507149.0,28,['2021-01-08T00:00:00.000Z'],260477,
62,63,2021-02-15T00:00:00.000Z,Biarlah  Semua Berlalu,willyanggawinata,FR10S2148007,1.28571428571429,32663429.0,36,['2020-11-27T00:00:00.000Z'],1034592,
63,64,2021-02-15T00:00:00.000Z,sonido original,Sebastian Linares Alcala,NLRD51967607,1.28571428571429,28672920.0,12,['2019-12-26T00:00:00.000Z'],1651509,
64,65,2021-02-15T00:00:00.000Z,Lofi,Domknowz,QZFZ42089472,1.28571428571429,28931601.0,197,['2020-02-28T00:00:00.000Z'],3582396,
65,66,2021-02-15T00:00:00.000Z,Fake,The Tech Thieves,QZ8GX1700268,-3.14285714285714,20319626.0,220,['2018-08-03T00:00:00.000Z'],12525,
66,67,2021-02-15T00:00:00.000Z,positions,arianagrande,USUM72019412,,31753148.0,77,"['2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-27T00:00:00.000Z']",3963,
70,71,2021-02-15T00:00:00.000Z,Monster,LUM!X & Gabry Ponte,ITV951900009,,22858728.0,254,"['2019-04-19T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2020-04-01T00:00:00.000Z']",787669,
