index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,before,after,listener_diff,percent increase,IG_f15,IG_f21,TW_f15,TW_f21,Tiktok_f15,Tiktok_f21,Tiktok Status
73,81,2021-01-21,oops!,Yung Gravy 🍯,USUM72019052,2.42857142857143,31524146.0,37,"['2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z']",271148,4708347.0,5195474.0,487127.0,10.34603014603639,1385776.0,1392523.0,238219.0,239588.0,1700000.0,1800000.0,Has Tiktok
74,82,2021-01-21,Copines,Aya Nakamura,FRZ041800793,-0.14285714285714302,20438195.0,31,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,12872109.0,12985344.0,113235.0,0.8796926750697962,2704208.0,2711238.0,1037000.0,1042067.0,1200000.0,1200000.0,Has Tiktok
75,83,2021-01-21,Whoopty,Real CJ,USA2P2031043,-0.5714285714285711,31140457.0,112,"['2020-08-20T00:00:00.000Z', '2020-11-06T00:00:00.000Z']",826529,16131290.0,16913912.0,782622.0,4.8515772762128755,260184.0,294344.0,1196.0,1217.0,,,No Tiktok
76,84,2021-01-21,Pussy Poppin,Rico Nasty,USAT22007431,24.0,32169718.0,9,['2020-12-04T00:00:00.000Z'],156043,3338175.0,3376513.0,38338.0,1.1484718446456523,1787132.0,1794168.0,679796.0,681682.0,1000000.0,1100000.0,Has Tiktok
77,86,2021-01-21,At My Worst,pinksweatsmusic,USAT22003823,0.14285714285714302,30211836.0,95,"['2020-07-17T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2021-01-06T00:00:00.000Z']",1118137,11731266.0,12057435.0,326169.0,2.780339308647507,434489.0,435119.0,45138.0,45129.0,631900.0,646000.0,Has Tiktok
78,89,2021-01-21,Astronaut In The Ocean,Masked Wolf,AUFXV1900105,2.85714285714286,23902934.0,64,['2019-06-07T00:00:00.000Z'],794053,1671439.0,1929790.0,258351.0,15.456800996027972,17088.0,17957.0,244.0,284.0,,,No Tiktok
79,90,2021-01-21,Funk da Netflix,Netflix Brasil,QZ8BZ1900519,1.85714285714286,24886077.0,69,['2019-08-16T00:00:00.000Z'],163514,2771760.0,2811668.0,39908.0,1.4398071983144283,21951.0,21867.0,154.0,155.0,,,No Tiktok
80,91,2021-01-21,Scooby Doo Pa Pa,IAmKass,TCADG1759991,-0.28571428571428603,16503674.0,26,"['2017-09-12T00:00:00.000Z', '2018-01-19T00:00:00.000Z', '2018-08-06T00:00:00.000Z', '2018-09-14T00:00:00.000Z', '2019-02-15T00:00:00.000Z']",485457,611259.0,600994.0,-10265.0,-1.6793208770750208,243007.0,242739.0,11015.0,11007.0,63600.0,63900.0,Has Tiktok
81,92,2021-01-21,Cabaré,Nêgo Jhá©,QZMZ92059272,-1.42857142857143,31488707.0,34,['2020-09-07T00:00:00.000Z'],3964419,789840.0,873788.0,83948.0,10.628481717816268,,,,,,,No Tiktok
82,93,2021-01-21,Mungkin Hari Ini Esok Atau Nanti,Anneth,FRX872024128,10.5714285714286,31733715.0,45,['2020-10-20T00:00:00.000Z'],912391,1651899.0,1704194.0,52295.0,3.1657504484233,,,,,,,No Tiktok
83,94,2021-01-21,Among Us,Sembari +,QZNWQ2008975,-0.42857142857142894,31876320.0,42,['2020-11-01T00:00:00.000Z'],3824540,75541.0,73495.0,-2046.0,-2.7084629538925884,,,,,,,No Tiktok
84,95,2021-01-21,Casal Bem Louco,MC Marks,BRRGE1810075,14.0,20499461.0,28,['2018-08-31T00:00:00.000Z'],649592,2818452.0,2722259.0,-96193.0,-3.412972794995267,,,365.0,365.0,,,No Tiktok
85,96,2021-01-21,I Am (feat. Flo Milli),Yung Baby Tate,QZ5FA2050544,10.4285714285714,32149829.0,15,['2020-12-04T00:00:00.000Z'],749151,2207264.0,2519018.0,311754.0,14.124001478753787,109497.0,112698.0,45947.0,46851.0,122900.0,128300.0,Has Tiktok
86,97,2021-01-21,"Rasputin (7"" Version)",Boney M.,DEC730800009,64.4285714285714,11461430.0,36,"['2008-05-12T00:00:00.000Z', '2010-07-30T00:00:00.000Z', '2009-01-01T00:00:00.000Z']",735,9888896.0,9044130.0,-844766.0,-8.542571385117206,4007.0,4034.0,8503.0,8501.0,,,No Tiktok
87,98,2021-01-21,Şeytan diyor ki (Slow Version),Cansever,USCGJ2085352,18.1428571428571,28937236.0,13,['2020-03-17T00:00:00.000Z'],317562,305929.0,318108.0,12179.0,3.980989053015569,,,0.0,0.0,,,No Tiktok
88,100,2021-01-21,Copines,We.Wibu,FRZ041800793,-2.42857142857143,20438195.0,35,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,12872109.0,12985344.0,113235.0,0.8796926750697962,2704208.0,2711238.0,1037000.0,1042067.0,1200000.0,1200000.0,Has Tiktok
