index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,before,after,listener_diff,percent increase,IG_f15,IG_f21,TW_f15,TW_f21,Tiktok_f15,Tiktok_f21,Tiktok Status
21,22,2021-01-21,Rumors,Jake Miller,USWB11507655,,16028999.0,2,"['2015-07-08T00:00:00.000Z', '2020-02-21T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-03-21T00:00:00.000Z', '2020-03-22T00:00:00.000Z', '2020-03-22T00:00:00.000Z', '2020-03-22T00:00:00.000Z', '2020-03-23T00:00:00.000Z', '2020-04-14T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-26T00:00:00.000Z', '2020-12-28T00:00:00.000Z', '2021-01-01T00:00:00.000Z', '2021-01-01T00:00:00.000Z', '2021-01-01T00:00:00.000Z', '2021-01-08T00:00:00.000Z']",4521,860652.0,872917.0,12265.0,1.425082379405381,918176.0,916933.0,531059.0,530814.0,795800.0,795500.0,Has Tiktok
22,23,2021-01-21,Bandook,Nirvair Pannu,FR96X2024977,-0.5714285714285711,29644559.0,192,['2020-05-30T00:00:00.000Z'],1692046,613348.0,611484.0,-1864.0,-0.3039057761662221,,,,,,,No Tiktok
23,24,2021-01-21,pota pota by HERA,hera,FRZ041800793,-1.14285714285714,20438195.0,37,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,12872109.0,12985344.0,113235.0,0.8796926750697962,2704208.0,2711238.0,1037000.0,1042067.0,1200000.0,1200000.0,Has Tiktok
24,25,2021-01-21,Monkeys Spinning Monkeys,Kevin MacLeod,USUAN1400011,7.571428571428571,17158836.0,219,"['2014-12-30T00:00:00.000Z', '2019-10-10T00:00:00.000Z']",333690,246537.0,247897.0,1360.0,0.5516413357832699,,,18272.0,18284.0,,,No Tiktok
25,26,2021-01-21,Pipipi Calon Mantu (Remix),DJ Opus,FRX872053520,1.28571428571429,31742974.0,34,['2020-09-22T00:00:00.000Z'],1374602,325653.0,322037.0,-3616.0,-1.1103843661811805,,,,,,,No Tiktok
26,27,2021-01-21,original sound,😇Larry😇,ART0G2004825,,32528776.0,2,['2021-01-08T00:00:00.000Z'],1453446,4365459.0,4656775.0,291316.0,6.67320435262363,17820.0,17918.0,412.0,413.0,,,No Tiktok
27,28,2021-01-21,Mhm Mhm,Cdot Honcho,QZMHM2098517,12.5714285714286,31626196.0,15,['2020-10-09T00:00:00.000Z'],661520,93224.0,111051.0,17827.0,19.122758088045995,320601.0,322717.0,41040.0,41050.0,,,No Tiktok
28,29,2021-01-21,Bad boy,Marwa Loud,FR7IX1800130,0.5714285714285711,18723926.0,34,"['2018-03-09T00:00:00.000Z', '2018-03-09T00:00:00.000Z']",387692,2344983.0,2580270.0,235287.0,10.033633506085119,1056945.0,1057711.0,9605.0,9607.0,1100000.0,1200000.0,Has Tiktok
29,31,2021-01-21,LSD,Tisakorean,QM24S1922802,-1.85714285714286,25238830.0,31,['2019-07-31T00:00:00.000Z'],1111162,303236.0,307956.0,4720.0,1.5565434183276392,,,40817.0,40880.0,,,No Tiktok
30,32,2021-01-21,COPINES SLOWED FULL VERSION,R O S E,FRZ041800793,-0.857142857142857,20438195.0,16,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,12872109.0,12985344.0,113235.0,0.8796926750697962,2704208.0,2711238.0,1037000.0,1042067.0,1200000.0,1200000.0,Has Tiktok
